Classifier,Class Imbalance,Train Accuracy,Test Accuracy,Unseen Accuracy,Precision,Recall,F1 Score,ROC AUC
LogisticRegression,oversampling,0.9096,0.9178,0.8000,0.9178,0.9178,0.9178,0.9754
RandomForestClassifier,oversampling,1.0000,0.9578,0.9000,0.9579,0.9578,0.9578,0.9944
SVC,oversampling,0.9948,0.9618,0.9000,0.9624,0.9618,0.9618,0.9915
DecisionTreeClassifier,oversampling,1.0000,0.9381,0.9000,0.9386,0.9381,0.9381,0.9381
MLPClassifier,oversampling,0.9774,0.9387,0.9000,0.9406,0.9387,0.9386,0.9786
hardVotingClassifier,oversampling,0.9984,0.9630,0.9000,0.9634,0.9630,0.9630,0.9630
softVotingClassifier,oversampling,0.9975,0.9653,0.8000,0.9655,0.9653,0.9653,0.9951
LogisticRegression,undersampling,0.9141,0.8963,0.8000,0.8965,0.8963,0.8963,0.9585
RandomForestClassifier,undersampling,1.0000,0.9309,0.8000,0.9310,0.9309,0.9309,0.9812
SVC,undersampling,0.9921,0.9161,0.7000,0.9168,0.9161,0.9161,0.9762
DecisionTreeClassifier,undersampling,1.0000,0.8707,0.7000,0.8708,0.8707,0.8707,0.8707
MLPClassifier,undersampling,0.9921,0.9062,0.8000,0.9063,0.9062,0.9062,0.9617
hardVotingClassifier,undersampling,0.9970,0.9319,0.8000,0.9320,0.9319,0.9319,0.9319
softVotingClassifier,undersampling,0.9953,0.9279,0.6000,0.9284,0.9279,0.9279,0.9788
LogisticRegression,original,0.9120,0.9139,1.0000,0.9136,0.9139,0.9137,0.9735
RandomForestClassifier,original,1.0000,0.9220,0.7000,0.9222,0.9220,0.9213,0.9836
SVC,original,0.9909,0.9351,1.0000,0.9354,0.9351,0.9352,0.9824
DecisionTreeClassifier,original,1.0000,0.8920,0.7000,0.8922,0.8920,0.8921,0.8849
MLPClassifier,original,0.9892,0.9183,0.7000,0.9185,0.9183,0.9184,0.9711
hardVotingClassifier,original,0.9976,0.9358,1.0000,0.9357,0.9358,0.9357,0.9294
softVotingClassifier,original,0.9962,0.9344,0.7000,0.9342,0.9344,0.9342,0.9855
